destination,duration_days,travelers,hotel_rating,transportation,season,activities_count,food_preference,travel_style,total_budget
Rishikesh,5,3,3,Train,Peak,13,Non-Veg,Luxury,171090
Rishikesh,9,1,1,Bus,Off-Peak,10,Non-Veg,Budget,26580
Udaipur,6,5,4,Car,Off-Peak,7,Fine Dining,Budget,219890
Rishikesh,11,2,3,Flight,Off-Peak,8,Non-Veg,Luxury,144290
Ladakh,8,4,5,Train,Shoulder,22,Fine Dining,Luxury,792690
Singapore,13,8,3,Flight,Peak,21,Fine Dining,Budget,1561570
Bali,7,1,2,Flight,Off-Peak,1,Street Food,Budget,72100
Dubai,4,7,5,Flight,Off-Peak,12,Street Food,Moderate,867710
Singapore,12,2,5,Flight,Peak,29,Vegetarian,Moderate,902020
Andaman,11,6,4,Flight,Off-Peak,1,Vegetarian,Moderate,408450
Jaipur,9,1,2,Train,Shoulder,22,Fine Dining,Budget,53180
Bali,12,5,2,Flight,Peak,32,Fine Dining,Budget,751200
Paris,13,4,1,Flight,Peak,26,Vegetarian,Moderate,979050
Udaipur,4,4,5,Train,Off-Peak,10,Non-Veg,Budget,150560
Paris,3,3,3,Flight,Off-Peak,4,Fine Dining,Budget,393680
Goa,13,5,5,Bus,Peak,28,Vegetarian,Moderate,1126200
Andaman,6,2,5,Train,Shoulder,17,Vegetarian,Luxury,272700
Ladakh,8,8,3,Flight,Peak,11,Vegetarian,Luxury,702970
Paris,5,7,1,Flight,Peak,4,Non-Veg,Moderate,983840
Dubai,12,2,1,Flight,Shoulder,28,Vegetarian,Luxury,423600
Varanasi,6,4,1,Train,Shoulder,2,Fine Dining,Luxury,151020
Manali,14,8,1,Train,Off-Peak,8,Vegetarian,Budget,225200
Andaman,7,2,2,Flight,Shoulder,2,Fine Dining,Luxury,130470
Manali,3,1,5,Flight,Shoulder,7,Vegetarian,Luxury,81260
Jaipur,11,1,4,Flight,Shoulder,7,Fine Dining,Luxury,204660
Singapore,2,8,5,Flight,Shoulder,5,Non-Veg,Budget,631130
Bali,13,2,5,Flight,Peak,37,Non-Veg,Luxury,985190
Varanasi,8,8,5,Flight,Peak,5,Vegetarian,Budget,586700
Bali,8,6,3,Flight,Off-Peak,18,Non-Veg,Budget,597380
Bali,7,5,3,Flight,Peak,17,Non-Veg,Budget,515820
Rishikesh,2,7,3,Flight,Peak,6,Non-Veg,Budget,124960
Dubai,9,8,5,Flight,Off-Peak,11,Fine Dining,Luxury,2324670
Varanasi,4,2,4,Bus,Peak,8,Non-Veg,Budget,44400
Paris,5,8,5,Flight,Peak,4,Street Food,Luxury,2980210
Varanasi,14,7,2,Flight,Peak,24,Vegetarian,Budget,332200
Rishikesh,3,3,3,Flight,Off-Peak,6,Vegetarian,Budget,56730
Ladakh,4,4,3,Train,Shoulder,9,Non-Veg,Budget,95630
Kerala,6,2,1,Bus,Peak,13,Vegetarian,Moderate,49220
Ladakh,9,4,3,Bus,Off-Peak,6,Street Food,Luxury,195560
Kerala,4,4,2,Train,Off-Peak,6,Fine Dining,Luxury,134070
Dubai,5,1,5,Flight,Off-Peak,4,Fine Dining,Budget,145710
Goa,12,5,2,Bus,Off-Peak,32,Non-Veg,Luxury,429260
Udaipur,14,2,2,Train,Off-Peak,33,Fine Dining,Moderate,187480
Kerala,7,6,5,Train,Off-Peak,16,Street Food,Moderate,431240
Dubai,14,1,2,Flight,Peak,13,Street Food,Budget,137210
Ladakh,8,7,5,Flight,Shoulder,9,Vegetarian,Budget,762530
Ladakh,9,6,2,Train,Shoulder,17,Fine Dining,Moderate,402510
Andaman,8,6,4,Flight,Shoulder,1,Non-Veg,Moderate,364550
Dubai,3,6,1,Flight,Shoulder,9,Vegetarian,Moderate,463390
Manali,3,2,3,Flight,Peak,6,Non-Veg,Luxury,68340
Ladakh,13,5,2,Train,Peak,35,Fine Dining,Budget,536200
Ladakh,7,7,4,Bus,Off-Peak,1,Street Food,Luxury,402640
Singapore,4,7,2,Flight,Peak,12,Non-Veg,Moderate,761600
Bali,14,8,4,Flight,Shoulder,6,Fine Dining,Budget,1278600
Paris,8,4,4,Flight,Shoulder,18,Vegetarian,Moderate,994850
Kerala,6,1,4,Bus,Shoulder,11,Non-Veg,Moderate,67670
Singapore,8,5,3,Flight,Off-Peak,1,Vegetarian,Budget,420350
Varanasi,11,7,4,Flight,Shoulder,5,Street Food,Budget,371850
Varanasi,11,8,3,Flight,Peak,12,Vegetarian,Luxury,597240
Goa,4,4,1,Car,Shoulder,5,Non-Veg,Budget,53300
Rishikesh,3,8,1,Flight,Peak,3,Fine Dining,Moderate,184000
Manali,4,7,4,Train,Shoulder,4,Non-Veg,Budget,153330
Paris,12,8,2,Flight,Off-Peak,20,Non-Veg,Luxury,2711220
Udaipur,6,4,1,Car,Shoulder,3,Street Food,Luxury,92920
Rishikesh,7,8,4,Train,Peak,3,Fine Dining,Luxury,702770
Udaipur,7,5,4,Train,Peak,14,Non-Veg,Budget,329310
Paris,8,8,4,Flight,Off-Peak,6,Vegetarian,Moderate,1663530
Goa,5,3,3,Bus,Off-Peak,5,Vegetarian,Luxury,96990
Jaipur,9,7,5,Flight,Shoulder,3,Vegetarian,Luxury,1086590
Varanasi,8,8,2,Flight,Off-Peak,2,Street Food,Budget,147820
Paris,12,8,4,Flight,Shoulder,26,Non-Veg,Moderate,2563650
Ladakh,3,3,3,Train,Shoulder,8,Street Food,Budget,57120
Dubai,5,8,2,Flight,Shoulder,14,Fine Dining,Budget,685780
Goa,11,2,2,Flight,Off-Peak,26,Non-Veg,Budget,103160
Goa,12,5,2,Flight,Peak,14,Vegetarian,Luxury,422500
Udaipur,13,1,5,Train,Off-Peak,7,Street Food,Luxury,323150
Goa,11,1,1,Bus,Peak,16,Fine Dining,Budget,56010
Goa,8,1,1,Flight,Peak,22,Vegetarian,Budget,44850
Manali,14,3,2,Flight,Off-Peak,7,Fine Dining,Moderate,230880
Jaipur,11,4,5,Flight,Shoulder,8,Non-Veg,Budget,392270
Varanasi,4,1,4,Train,Peak,7,Non-Veg,Moderate,38730
Dubai,6,6,1,Flight,Peak,7,Street Food,Moderate,466180
Udaipur,3,3,3,Car,Off-Peak,6,Street Food,Luxury,79440
Singapore,13,3,3,Flight,Peak,21,Street Food,Budget,559370
Bali,11,8,4,Flight,Off-Peak,15,Vegetarian,Budget,922620
Singapore,3,5,2,Flight,Off-Peak,7,Non-Veg,Luxury,623000
Kerala,7,8,3,Flight,Shoulder,7,Vegetarian,Budget,265380
Bali,9,6,2,Flight,Shoulder,11,Vegetarian,Luxury,903070
Andaman,12,5,1,Flight,Off-Peak,22,Fine Dining,Budget,373730
Goa,12,4,2,Train,Shoulder,34,Fine Dining,Budget,290110
Goa,3,8,1,Car,Peak,3,Non-Veg,Budget,80940
Bali,10,4,2,Flight,Off-Peak,3,Street Food,Luxury,480630
Kerala,13,4,2,Flight,Off-Peak,16,Fine Dining,Moderate,309400
Dubai,5,5,4,Flight,Peak,6,Street Food,Moderate,540540
Udaipur,8,7,2,Bus,Shoulder,1,Street Food,Moderate,155220
Singapore,6,3,5,Flight,Off-Peak,6,Fine Dining,Moderate,592480
Udaipur,6,7,5,Train,Peak,11,Non-Veg,Luxury,1032280
Kerala,5,1,1,Bus,Off-Peak,12,Fine Dining,Moderate,31250
Andaman,8,6,4,Train,Off-Peak,19,Vegetarian,Moderate,465330
Manali,8,3,2,Bus,Shoulder,24,Fine Dining,Luxury,262200
Dubai,13,6,1,Flight,Off-Peak,25,Street Food,Luxury,1096030
Udaipur,2,6,1,Train,Off-Peak,2,Fine Dining,Luxury,97580
Dubai,4,5,2,Flight,Off-Peak,10,Non-Veg,Budget,334830
Manali,12,7,4,Train,Peak,34,Non-Veg,Moderate,797960
Andaman,6,5,5,Car,Off-Peak,13,Fine Dining,Luxury,731080
Paris,3,2,5,Flight,Shoulder,3,Fine Dining,Luxury,499610
Paris,8,5,1,Flight,Peak,16,Vegetarian,Budget,785890
Paris,8,7,3,Flight,Off-Peak,14,Non-Veg,Budget,1218980
Paris,4,4,4,Flight,Peak,9,Vegetarian,Moderate,769900
Jaipur,4,4,1,Train,Peak,5,Street Food,Moderate,48080
Bali,3,3,1,Flight,Shoulder,2,Street Food,Budget,161910
Varanasi,2,4,4,Train,Peak,1,Vegetarian,Moderate,40780
Goa,12,1,1,Flight,Peak,25,Fine Dining,Moderate,88490
Varanasi,11,7,3,Flight,Shoulder,21,Non-Veg,Moderate,402620
Andaman,11,1,3,Bus,Peak,1,Street Food,Luxury,124390
Kerala,2,2,5,Flight,Off-Peak,2,Fine Dining,Moderate,51280
Dubai,9,7,2,Flight,Peak,21,Fine Dining,Budget,920930
Goa,14,6,4,Flight,Shoulder,26,Vegetarian,Moderate,649980
Udaipur,12,2,4,Flight,Peak,10,Vegetarian,Budget,178850
Manali,6,8,2,Bus,Peak,16,Non-Veg,Budget,210070
Singapore,12,2,1,Flight,Shoulder,2,Non-Veg,Moderate,207610
Singapore,6,4,3,Flight,Off-Peak,16,Vegetarian,Luxury,726040
Rishikesh,12,8,1,Bus,Shoulder,15,Vegetarian,Luxury,430690
Paris,13,7,5,Flight,Shoulder,15,Non-Veg,Moderate,3298340
Manali,3,2,3,Train,Peak,2,Fine Dining,Budget,33950
Andaman,11,1,3,Flight,Off-Peak,13,Street Food,Moderate,83220
Varanasi,14,3,5,Train,Off-Peak,15,Vegetarian,Moderate,372900
Udaipur,7,3,3,Bus,Shoulder,15,Non-Veg,Luxury,197060
Paris,12,1,5,Flight,Shoulder,20,Vegetarian,Moderate,733470
Paris,11,8,2,Flight,Shoulder,19,Street Food,Budget,1580940
Varanasi,4,4,2,Train,Peak,3,Street Food,Luxury,65710
Dubai,4,1,5,Flight,Shoulder,6,Street Food,Luxury,232940
Varanasi,14,7,4,Flight,Off-Peak,19,Fine Dining,Luxury,1133050
Paris,10,7,1,Flight,Peak,11,Vegetarian,Luxury,1818310
Dubai,4,3,4,Flight,Off-Peak,8,Fine Dining,Budget,252620
Singapore,13,4,1,Flight,Shoulder,37,Vegetarian,Luxury,1171130
Kerala,8,7,2,Car,Peak,12,Street Food,Budget,217820
Manali,10,6,5,Flight,Peak,21,Street Food,Budget,679610
Jaipur,8,8,3,Train,Peak,21,Street Food,Luxury,533240
Dubai,12,2,4,Flight,Off-Peak,25,Fine Dining,Luxury,630770
Varanasi,2,2,1,Flight,Shoulder,6,Non-Veg,Budget,26640
Bali,9,5,1,Flight,Off-Peak,6,Street Food,Moderate,434870
Paris,8,5,5,Flight,Peak,4,Fine Dining,Budget,1737940
Singapore,10,3,4,Flight,Off-Peak,1,Street Food,Luxury,718180
Singapore,14,8,1,Flight,Off-Peak,38,Vegetarian,Budget,1415640
Manali,4,3,1,Train,Shoulder,2,Vegetarian,Budget,28560
Dubai,4,2,5,Flight,Shoulder,1,Vegetarian,Budget,171930
Varanasi,10,3,4,Car,Off-Peak,1,Non-Veg,Moderate,152550
Rishikesh,14,5,5,Flight,Off-Peak,32,Fine Dining,Luxury,1446070
Varanasi,11,4,1,Train,Peak,16,Vegetarian,Budget,96570
Jaipur,4,4,5,Flight,Peak,12,Street Food,Budget,191880
Ladakh,8,3,4,Train,Shoulder,22,Street Food,Luxury,382930
Jaipur,3,5,2,Train,Off-Peak,9,Non-Veg,Moderate,80510
Varanasi,14,7,4,Flight,Off-Peak,16,Vegetarian,Moderate,508280
Manali,12,7,1,Flight,Peak,24,Fine Dining,Moderate,520180
Singapore,5,5,1,Flight,Peak,7,Non-Veg,Moderate,508780
Singapore,3,3,5,Flight,Off-Peak,5,Street Food,Budget,303430
Paris,11,5,5,Flight,Shoulder,7,Vegetarian,Budget,1748300
Singapore,8,3,3,Flight,Off-Peak,22,Street Food,Moderate,495290
Ladakh,2,3,2,Flight,Off-Peak,6,Fine Dining,Budget,68190
Dubai,7,4,5,Flight,Shoulder,15,Non-Veg,Moderate,806720
Singapore,9,5,3,Flight,Shoulder,17,Non-Veg,Moderate,838410
Manali,6,7,3,Bus,Off-Peak,3,Vegetarian,Luxury,203060
Manali,4,1,1,Train,Off-Peak,8,Vegetarian,Moderate,17030
Paris,4,8,4,Flight,Off-Peak,11,Vegetarian,Moderate,1371070
Jaipur,13,1,4,Train,Off-Peak,23,Non-Veg,Luxury,176770
Rishikesh,12,1,5,Flight,Peak,34,Non-Veg,Budget,238820
Kerala,10,6,1,Flight,Shoulder,6,Fine Dining,Budget,260090
Dubai,5,2,3,Flight,Shoulder,8,Fine Dining,Moderate,186320
Paris,12,7,2,Flight,Shoulder,33,Vegetarian,Moderate,2055350
Udaipur,2,6,1,Train,Shoulder,3,Fine Dining,Budget,59340
Paris,4,7,3,Flight,Peak,2,Street Food,Moderate,994350
Rishikesh,10,3,4,Flight,Shoulder,1,Non-Veg,Luxury,299590
Udaipur,8,6,3,Flight,Peak,18,Fine Dining,Budget,402980
Dubai,9,3,2,Flight,Shoulder,24,Street Food,Budget,342200
Paris,5,2,2,Flight,Shoulder,1,Non-Veg,Moderate,270220
Varanasi,2,3,2,Car,Off-Peak,3,Vegetarian,Moderate,25430
Udaipur,14,3,3,Bus,Shoulder,33,Street Food,Budget,216880
Manali,14,1,2,Flight,Off-Peak,1,Non-Veg,Budget,48450
Varanasi,8,1,4,Train,Shoulder,16,Vegetarian,Moderate,68050
Kerala,13,3,2,Flight,Peak,17,Non-Veg,Luxury,319850
Jaipur,9,2,5,Train,Peak,19,Non-Veg,Budget,199250
Andaman,2,5,2,Car,Shoulder,1,Non-Veg,Budget,45000
Andaman,8,5,2,Flight,Shoulder,16,Vegetarian,Luxury,412570
Goa,6,2,3,Flight,Shoulder,14,Non-Veg,Moderate,88300
Kerala,2,1,1,Train,Shoulder,2,Fine Dining,Moderate,11470
Bali,3,7,2,Flight,Shoulder,8,Fine Dining,Moderate,577890
Manali,12,1,5,Bus,Peak,22,Fine Dining,Luxury,475400
Paris,14,6,2,Flight,Off-Peak,18,Non-Veg,Luxury,1961150
Manali,4,2,1,Train,Off-Peak,4,Non-Veg,Luxury,38150
Manali,3,6,3,Train,Peak,9,Non-Veg,Budget,97490
Andaman,10,5,5,Car,Shoulder,15,Vegetarian,Moderate,807420
Andaman,10,1,2,Train,Off-Peak,5,Fine Dining,Budget,58920
Goa,14,4,4,Train,Off-Peak,33,Vegetarian,Budget,326730
Rishikesh,8,7,4,Train,Peak,6,Vegetarian,Budget,347960
Bali,13,1,5,Flight,Shoulder,33,Fine Dining,Moderate,479560
Ladakh,13,5,5,Flight,Peak,3,Non-Veg,Moderate,1189010
Kerala,6,3,3,Bus,Peak,8,Non-Veg,Luxury,157400
Dubai,7,6,3,Flight,Peak,18,Fine Dining,Luxury,1183110
Bali,6,6,1,Flight,Off-Peak,1,Fine Dining,Budget,424840
Ladakh,4,5,1,Train,Off-Peak,2,Street Food,Luxury,77750
Dubai,12,4,4,Flight,Peak,21,Fine Dining,Budget,843410
Singapore,14,7,2,Flight,Shoulder,15,Street Food,Moderate,1029830
Udaipur,3,8,2,Train,Peak,4,Street Food,Luxury,141050
Ladakh,2,5,2,Bus,Shoulder,6,Non-Veg,Budget,60500
Andaman,5,8,4,Flight,Off-Peak,3,Vegetarian,Luxury,418630
Andaman,2,2,1,Bus,Off-Peak,1,Non-Veg,Budget,12020
Ladakh,4,1,1,Car,Peak,9,Fine Dining,Luxury,48340
Kerala,9,8,2,Flight,Shoulder,5,Non-Veg,Budget,256610
Ladakh,12,2,1,Bus,Peak,35,Fine Dining,Budget,170500
Andaman,4,1,2,Flight,Shoulder,7,Non-Veg,Moderate,36590
Jaipur,12,7,1,Train,Peak,15,Vegetarian,Moderate,251160
Bali,7,2,3,Flight,Peak,2,Non-Veg,Budget,157980
Varanasi,11,3,4,Flight,Off-Peak,20,Fine Dining,Moderate,290730
Ladakh,9,6,3,Bus,Off-Peak,26,Vegetarian,Budget,350260
Kerala,14,3,3,Flight,Shoulder,31,Vegetarian,Budget,236170
Paris,6,3,1,Flight,Shoulder,5,Non-Veg,Moderate,441750
Udaipur,8,8,4,Train,Off-Peak,11,Non-Veg,Luxury,650900
Andaman,8,8,5,Train,Off-Peak,18,Non-Veg,Moderate,845450
Paris,8,4,1,Flight,Peak,12,Vegetarian,Budget,641970
Goa,7,8,2,Car,Peak,12,Fine Dining,Budget,312360
Kerala,10,7,2,Flight,Peak,2,Non-Veg,Budget,276650
Paris,4,7,1,Flight,Off-Peak,7,Fine Dining,Budget,943410
Dubai,11,2,4,Flight,Off-Peak,11,Vegetarian,Budget,245370
Manali,5,2,1,Train,Shoulder,3,Non-Veg,Moderate,30570
Paris,10,5,4,Flight,Shoulder,24,Fine Dining,Moderate,1778860
Paris,2,5,1,Flight,Peak,1,Vegetarian,Luxury,907720
Rishikesh,4,1,4,Bus,Off-Peak,8,Fine Dining,Luxury,60280
Paris,5,7,2,Flight,Shoulder,2,Street Food,Budget,848820
Andaman,11,1,2,Flight,Off-Peak,5,Street Food,Moderate,51640
Dubai,8,7,2,Flight,Peak,12,Street Food,Budget,607640
Manali,3,6,5,Bus,Shoulder,1,Non-Veg,Moderate,143640
Manali,3,4,5,Flight,Shoulder,4,Non-Veg,Luxury,212850
Jaipur,6,2,5,Train,Off-Peak,16,Vegetarian,Budget,93910
Ladakh,2,6,3,Car,Off-Peak,2,Fine Dining,Moderate,92340
Kerala,13,2,3,Flight,Off-Peak,33,Vegetarian,Luxury,221120
Kerala,2,7,4,Train,Peak,3,Non-Veg,Budget,91580
Manali,12,2,2,Bus,Off-Peak,10,Non-Veg,Luxury,112330
Paris,11,6,4,Flight,Peak,22,Fine Dining,Moderate,2214680
Andaman,2,7,2,Flight,Off-Peak,5,Vegetarian,Budget,124640
Udaipur,3,1,2,Bus,Shoulder,9,Vegetarian,Moderate,18420
Varanasi,4,5,2,Flight,Off-Peak,6,Fine Dining,Budget,111820
Paris,14,8,3,Flight,Shoulder,17,Street Food,Luxury,3093320
Manali,11,8,1,Flight,Shoulder,26,Street Food,Luxury,572490
Kerala,9,6,5,Bus,Shoulder,12,Vegetarian,Luxury,898390
Udaipur,6,1,5,Car,Peak,8,Vegetarian,Budget,140430
Ladakh,8,3,5,Flight,Peak,8,Street Food,Moderate,518390
Varanasi,9,8,5,Car,Shoulder,4,Vegetarian,Budget,539210
Andaman,14,7,2,Flight,Peak,21,Fine Dining,Luxury,1202710
Paris,13,8,1,Flight,Shoulder,30,Vegetarian,Luxury,2795210
Udaipur,4,4,3,Train,Off-Peak,7,Vegetarian,Moderate,81530
Udaipur,5,1,2,Bus,Off-Peak,7,Fine Dining,Moderate,34010
Manali,4,2,3,Flight,Shoulder,12,Street Food,Moderate,58370
Dubai,6,3,1,Flight,Peak,14,Fine Dining,Moderate,313610
Varanasi,8,8,4,Train,Peak,23,Street Food,Moderate,453170
Bali,8,1,5,Flight,Off-Peak,7,Vegetarian,Luxury,324870
Bali,4,6,3,Flight,Peak,3,Street Food,Budget,393520
Varanasi,3,7,3,Train,Peak,8,Non-Veg,Luxury,163470
Bali,3,1,2,Flight,Off-Peak,4,Street Food,Luxury,104940
Kerala,11,7,2,Flight,Peak,1,Fine Dining,Moderate,431900
Ladakh,10,2,4,Train,Shoulder,14,Street Food,Moderate,158590
Rishikesh,8,6,1,Car,Shoulder,14,Fine Dining,Budget,248300
Kerala,10,7,4,Flight,Off-Peak,23,Street Food,Luxury,757440
Bali,3,2,1,Flight,Peak,1,Street Food,Budget,107710
Singapore,11,2,4,Flight,Off-Peak,3,Fine Dining,Moderate,340910
Singapore,9,7,1,Flight,Peak,16,Vegetarian,Moderate,973530
Udaipur,8,7,1,Car,Peak,17,Fine Dining,Moderate,386710
Ladakh,6,7,2,Flight,Shoulder,2,Vegetarian,Budget,157470
Varanasi,10,6,3,Flight,Off-Peak,14,Non-Veg,Luxury,403190
Jaipur,11,7,1,Bus,Off-Peak,28,Non-Veg,Luxury,432570
Paris,4,7,3,Flight,Off-Peak,3,Street Food,Budget,803740
Singapore,4,2,5,Flight,Shoulder,11,Fine Dining,Luxury,450190
Varanasi,5,2,1,Flight,Peak,11,Non-Veg,Budget,42500
Rishikesh,3,7,1,Train,Peak,8,Fine Dining,Budget,129140
Jaipur,6,4,5,Bus,Off-Peak,13,Fine Dining,Luxury,361660
Manali,4,1,5,Bus,Peak,8,Vegetarian,Budget,67680
Ladakh,4,2,1,Train,Shoulder,4,Street Food,Budget,23670
Goa,8,2,4,Car,Peak,7,Street Food,Moderate,124860
Dubai,9,3,2,Flight,Shoulder,1,Non-Veg,Luxury,370100
Bali,2,2,3,Flight,Shoulder,4,Vegetarian,Budget,117840
Ladakh,3,4,5,Flight,Peak,9,Non-Veg,Budget,200630
Manali,5,1,3,Flight,Peak,12,Non-Veg,Moderate,47220
Jaipur,3,6,5,Train,Shoulder,8,Street Food,Luxury,263060
Jaipur,6,3,2,Train,Off-Peak,9,Street Food,Budget,52800
Singapore,11,5,2,Flight,Peak,32,Street Food,Moderate,992690
Paris,6,6,5,Flight,Peak,13,Street Food,Budget,1596570
Varanasi,12,2,4,Flight,Peak,33,Fine Dining,Luxury,331490
Bali,12,6,4,Flight,Peak,8,Non-Veg,Moderate,1036250
Kerala,7,4,1,Flight,Shoulder,12,Non-Veg,Moderate,126930
Varanasi,13,1,3,Flight,Off-Peak,21,Non-Veg,Luxury,100710
Ladakh,11,4,5,Flight,Off-Peak,18,Vegetarian,Luxury,852990
Andaman,12,7,3,Bus,Peak,13,Vegetarian,Moderate,577630
Ladakh,8,2,1,Train,Off-Peak,11,Street Food,Budget,50380
Ladakh,2,1,4,Flight,Shoulder,1,Vegetarian,Moderate,24160
Manali,9,2,4,Train,Shoulder,11,Fine Dining,Moderate,141580
Singapore,7,8,5,Flight,Peak,13,Fine Dining,Luxury,3286650
Udaipur,12,2,3,Car,Peak,2,Non-Veg,Budget,105160
Kerala,3,6,4,Flight,Peak,4,Fine Dining,Luxury,317850
Paris,2,5,1,Flight,Peak,1,Fine Dining,Budget,518830
Paris,11,7,3,Flight,Off-Peak,11,Non-Veg,Luxury,2186100
Kerala,7,3,5,Bus,Shoulder,21,Street Food,Luxury,446430
Rishikesh,5,8,4,Car,Shoulder,13,Street Food,Budget,243800
Singapore,6,2,3,Flight,Off-Peak,8,Non-Veg,Luxury,304500
Udaipur,2,4,1,Train,Shoulder,4,Non-Veg,Moderate,37800
Jaipur,11,6,3,Train,Off-Peak,10,Vegetarian,Budget,191450
Varanasi,8,8,5,Train,Shoulder,7,Vegetarian,Moderate,544130
Dubai,6,2,2,Flight,Shoulder,4,Vegetarian,Budget,117000
Udaipur,4,5,1,Train,Off-Peak,8,Fine Dining,Moderate,118670
Rishikesh,3,6,4,Flight,Shoulder,9,Street Food,Luxury,249400
Udaipur,6,6,1,Flight,Shoulder,14,Non-Veg,Moderate,201600
Kerala,11,5,5,Train,Off-Peak,28,Vegetarian,Luxury,938300
Jaipur,3,4,1,Flight,Peak,5,Non-Veg,Budget,63350
Ladakh,5,7,4,Flight,Peak,12,Fine Dining,Moderate,503990
Singapore,5,6,3,Flight,Off-Peak,10,Fine Dining,Luxury,979070
Kerala,10,8,3,Bus,Off-Peak,8,Non-Veg,Moderate,330140
Kerala,4,6,4,Flight,Peak,11,Street Food,Moderate,237930
Kerala,6,2,2,Train,Peak,12,Street Food,Luxury,71890
Jaipur,9,2,1,Bus,Off-Peak,22,Fine Dining,Budget,84640
Kerala,14,3,1,Flight,Off-Peak,22,Street Food,Moderate,150430
Rishikesh,6,8,3,Flight,Peak,12,Fine Dining,Luxury,610320
Rishikesh,14,8,1,Flight,Off-Peak,41,Vegetarian,Budget,545160
Jaipur,12,3,3,Train,Peak,28,Fine Dining,Budget,263630
Jaipur,8,2,3,Bus,Off-Peak,18,Street Food,Luxury,92410
Dubai,7,6,4,Flight,Off-Peak,14,Fine Dining,Moderate,805810
Bali,10,6,5,Flight,Peak,14,Street Food,Luxury,2189860
Singapore,7,5,1,Flight,Peak,16,Non-Veg,Moderate,657230
Rishikesh,6,3,3,Train,Peak,10,Vegetarian,Moderate,103980
Ladakh,11,2,1,Train,Peak,28,Fine Dining,Luxury,262230
Goa,6,3,3,Bus,Off-Peak,18,Non-Veg,Budget,102310
Kerala,13,4,4,Train,Peak,19,Non-Veg,Budget,384130
Varanasi,5,7,4,Flight,Peak,15,Fine Dining,Moderate,382180
Kerala,11,7,3,Bus,Peak,13,Fine Dining,Budget,489360
Jaipur,6,5,1,Flight,Off-Peak,15,Non-Veg,Moderate,162220
Andaman,3,3,5,Flight,Shoulder,9,Fine Dining,Moderate,192770
Udaipur,8,7,4,Flight,Off-Peak,1,Street Food,Budget,305350
Bali,6,4,5,Flight,Off-Peak,12,Non-Veg,Luxury,802810
Bali,6,1,4,Flight,Peak,13,Vegetarian,Moderate,170410
Rishikesh,9,1,1,Flight,Off-Peak,4,Fine Dining,Luxury,67770
Ladakh,11,8,3,Bus,Peak,33,Vegetarian,Luxury,1073520
Kerala,10,8,2,Flight,Off-Peak,21,Non-Veg,Moderate,412130
Paris,2,8,5,Flight,Off-Peak,2,Vegetarian,Budget,899360
Bali,3,2,2,Flight,Peak,2,Street Food,Budget,119100
Udaipur,8,1,1,Flight,Shoulder,6,Non-Veg,Luxury,51800
Bali,12,8,5,Flight,Peak,28,Non-Veg,Luxury,3337980
Kerala,13,4,2,Train,Off-Peak,35,Non-Veg,Moderate,252000
Ladakh,12,2,5,Train,Off-Peak,18,Street Food,Moderate,289430
Manali,9,7,4,Flight,Shoulder,15,Vegetarian,Luxury,710660
Bali,6,1,5,Flight,Shoulder,2,Fine Dining,Budget,174000
Paris,9,5,1,Flight,Peak,12,Non-Veg,Moderate,983420
Rishikesh,8,2,2,Train,Shoulder,21,Fine Dining,Moderate,120350
Singapore,4,5,3,Flight,Shoulder,2,Street Food,Moderate,457220
Bali,12,3,5,Flight,Off-Peak,33,Fine Dining,Budget,789260
Bali,11,6,5,Flight,Off-Peak,26,Vegetarian,Budget,1043980
Paris,4,4,1,Flight,Off-Peak,2,Street Food,Luxury,737990
Singapore,5,4,1,Flight,Peak,12,Street Food,Moderate,446380
Goa,11,5,1,Flight,Off-Peak,5,Street Food,Moderate,150580
Goa,4,6,1,Train,Shoulder,3,Non-Veg,Budget,64730
Udaipur,12,5,2,Flight,Peak,28,Non-Veg,Budget,336100
Dubai,12,2,2,Flight,Peak,9,Vegetarian,Moderate,232510
Bali,10,2,3,Flight,Peak,22,Street Food,Budget,246960
Bali,9,6,3,Flight,Off-Peak,18,Non-Veg,Budget,614680
Dubai,8,2,5,Flight,Peak,5,Fine Dining,Budget,374500
Jaipur,2,6,1,Flight,Shoulder,3,Street Food,Luxury,115450
Kerala,6,2,5,Train,Off-Peak,17,Fine Dining,Moderate,155380
Rishikesh,13,2,5,Train,Shoulder,2,Vegetarian,Moderate,231300
Jaipur,7,1,2,Flight,Off-Peak,11,Vegetarian,Budget,30810
Singapore,11,1,3,Flight,Peak,27,Vegetarian,Luxury,382500
Kerala,6,1,1,Flight,Off-Peak,8,Fine Dining,Moderate,40010
Singapore,5,1,1,Flight,Peak,13,Non-Veg,Luxury,174150
Andaman,12,1,5,Train,Shoulder,25,Non-Veg,Moderate,335620
Rishikesh,4,2,4,Flight,Off-Peak,6,Fine Dining,Budget,62680
Goa,5,4,1,Train,Peak,7,Vegetarian,Budget,63520
Jaipur,2,2,1,Flight,Peak,3,Vegetarian,Moderate,27850
Dubai,5,5,2,Flight,Off-Peak,7,Street Food,Luxury,523640
Manali,3,5,5,Flight,Off-Peak,6,Non-Veg,Moderate,183990
Varanasi,14,5,2,Train,Shoulder,21,Vegetarian,Budget,187360
Andaman,13,8,3,Flight,Peak,34,Non-Veg,Moderate,1046530
Jaipur,3,6,2,Flight,Peak,8,Street Food,Budget,98160
Goa,6,5,5,Flight,Peak,2,Fine Dining,Luxury,766520
